date,node,cpu,int,mem,hd
2014-02-01 01:35:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 01:35:00,nodeIn01.ret.org,10,0.07,91.99,NA
2014-02-01 01:35:00,nodeIn02.ret.org,12,0.01,92.07,NA
2014-02-01 01:40:00,nodeId01.ret.org,8.5,0.03,91.72,NA
2014-02-01 01:40:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 01:40:00,nodeIn01.ret.org,10,0.04,91.99,NA
2014-02-01 01:40:00,nodeIn02.ret.org,12,0.01,92.08,NA
2014-02-01 01:45:00,nodeId01.ret.org,8.5,0.03,91.72,NA
2014-02-01 01:45:00,nodeId02.ret.org,9.5,0,91.11,NA
2014-02-01 01:45:00,nodeIn01.ret.org,10,0.01,91.99,NA
2014-02-01 01:45:00,nodeIn02.ret.org,12,0.01,92.08,NA
2014-02-01 01:50:00,nodeId01.ret.org,8.5,0.01,91.73,NA
2014-02-01 01:50:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 01:50:00,nodeIn01.ret.org,10.5,0.01,92,NA
2014-02-01 01:50:00,nodeIn02.ret.org,11.5,0.01,92.08,NA
2014-02-01 01:55:00,nodeId01.ret.org,8.5,0.03,91.72,NA
2014-02-01 01:55:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 01:55:00,nodeIn01.ret.org,10,0.02,91.98,NA
2014-02-01 01:55:00,nodeIn02.ret.org,11.5,0.01,92.07,NA
2014-02-01 02:00:00,nodeId01.ret.org,8.5,0.02,91.72,NA
2014-02-01 02:00:00,nodeId02.ret.org,9.5,0,91.09,NA
2014-02-01 02:00:00,nodeIn01.ret.org,10.5,0.1,92,NA
2014-02-01 02:00:00,nodeIn02.ret.org,11.5,0.01,92.07,NA
2014-02-01 02:05:00,nodeId01.ret.org,9,0.03,91.72,NA
2014-02-01 02:05:00,nodeId02.ret.org,9.5,0,91.09,NA
2014-02-01 02:05:00,nodeIn01.ret.org,10,0.01,91.99,NA
2014-02-01 02:05:00,nodeIn02.ret.org,12,0.01,92.08,NA
2014-02-01 02:10:00,nodeId01.ret.org,8.5,0.02,91.73,NA
2014-02-01 02:10:00,nodeId02.ret.org,10,0,91.09,NA
2014-02-01 02:10:00,nodeIn01.ret.org,10,0.04,91.99,NA
2014-02-01 02:10:00,nodeIn02.ret.org,11.5,0.01,92.08,NA
2014-02-01 02:15:00,nodeId01.ret.org,8.5,0.02,91.72,NA
2014-02-01 02:15:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 02:15:00,nodeIn01.ret.org,10,0.03,91.99,NA
2014-02-01 02:15:00,nodeIn02.ret.org,11.5,0.01,92.08,NA
2014-02-01 02:20:00,nodeId01.ret.org,8.5,0.03,91.73,NA
2014-02-01 02:20:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 02:20:00,nodeIn01.ret.org,9.5,0.01,91.99,NA
2014-02-01 02:20:00,nodeIn02.ret.org,12,0.01,92.08,NA
2014-02-01 02:25:00,nodeId01.ret.org,8.5,0.02,91.72,NA
